execution_id,robot,items,time_per_item,start_window,end_window,completed
1,R2,53,35,2025-02-20 08:00,2025-02-20 08:15,False
2,R3,78,52,2025-02-20 08:15,2025-02-20 08:20,False
3,R4,61,37,2025-02-20 08:20,2025-02-20 08:30,False
4,R5,98,59,2025-02-20 08:30,2025-02-20 08:35,False
5,R1,67,36,2025-02-20 08:35,2025-02-20 08:50,False
6,R2,73,60,2025-02-20 08:50,2025-02-20 09:05,False
7,R3,51,46,2025-02-20 09:05,2025-02-20 09:15,False
8,R4,55,21,2025-02-20 09:15,2025-02-20 09:20,False
9,R5,79,39,2025-02-20 09:20,2025-02-20 09:25,False
10,R1,68,46,2025-02-20 09:25,2025-02-20 09:30,False
11,R2,54,53,2025-02-20 09:30,2025-02-20 09:35,False
12,R3,71,58,2025-02-20 09:35,2025-02-20 09:45,False
13,R4,64,56,2025-02-20 09:45,2025-02-20 09:55,False
14,R5,91,52,2025-02-20 09:55,2025-02-20 10:00,False
15,R1,62,33,2025-02-20 10:00,2025-02-20 10:10,False
16,R2,66,21,2025-02-20 10:10,2025-02-20 10:25,False
17,R3,66,29,2025-02-20 10:25,2025-02-20 10:40,False
18,R4,69,59,2025-02-20 10:40,2025-02-20 10:55,False
19,R5,74,36,2025-02-20 10:55,2025-02-20 11:10,False
20,R1,99,28,2025-02-20 11:10,2025-02-20 11:15,False
21,R2,59,20,2025-02-20 11:15,2025-02-20 11:25,False
22,R3,72,46,2025-02-20 11:25,2025-02-20 11:30,False
23,R4,87,30,2025-02-20 11:30,2025-02-20 11:40,False
24,R5,83,45,2025-02-20 11:40,2025-02-20 11:45,False
25,R1,92,52,2025-02-20 11:45,2025-02-20 11:55,False
26,R2,71,20,2025-02-20 11:55,2025-02-20 12:10,False
27,R3,93,58,2025-02-20 12:10,2025-02-20 12:25,False
28,R4,85,31,2025-02-20 12:25,2025-02-20 12:30,False
29,R5,85,46,2025-02-20 12:30,2025-02-20 12:45,False
30,R1,71,24,2025-02-20 12:45,2025-02-20 13:00,False
31,R2,53,55,2025-02-20 13:00,2025-02-20 13:15,False
32,R3,80,50,2025-02-20 13:15,2025-02-20 13:30,False
33,R4,72,49,2025-02-20 13:30,2025-02-20 13:40,False
34,R5,78,58,2025-02-20 13:40,2025-02-20 13:55,False
35,R1,80,56,2025-02-20 13:55,2025-02-20 14:10,False
36,R2,80,43,2025-02-20 14:10,2025-02-20 14:25,False
37,R3,99,46,2025-02-20 14:25,2025-02-20 14:35,False
38,R4,63,40,2025-02-20 14:35,2025-02-20 14:50,False
39,R5,62,44,2025-02-20 14:50,2025-02-20 15:05,False
40,R1,52,48,2025-02-20 15:05,2025-02-20 15:20,False
41,R2,88,23,2025-02-20 15:20,2025-02-20 15:25,False
42,R3,77,57,2025-02-20 15:25,2025-02-20 15:30,False
43,R4,55,49,2025-02-20 15:30,2025-02-20 15:45,False
44,R5,65,29,2025-02-20 15:45,2025-02-20 15:50,False
45,R1,82,21,2025-02-20 15:50,2025-02-20 16:05,False
46,R2,62,48,2025-02-20 16:05,2025-02-20 16:10,False
47,R3,54,37,2025-02-20 16:10,2025-02-20 16:15,False
48,R4,55,32,2025-02-20 16:15,2025-02-20 16:25,False
49,R5,57,47,2025-02-20 16:25,2025-02-20 16:30,False
50,R1,79,26,2025-02-20 16:30,2025-02-20 16:40,False
51,R2,98,29,2025-02-20 16:40,2025-02-20 16:50,False
52,R3,65,44,2025-02-20 16:50,2025-02-20 17:00,False
53,R4,59,30,2025-02-20 17:00,2025-02-20 17:10,False
54,R5,54,38,2025-02-20 17:10,2025-02-20 17:15,False
55,R1,88,48,2025-02-20 17:15,2025-02-20 17:20,False
56,R2,53,59,2025-02-20 17:20,2025-02-20 17:35,False
57,R3,89,37,2025-02-20 17:35,2025-02-20 17:40,False
58,R4,56,45,2025-02-20 17:40,2025-02-20 17:50,False
59,R5,83,29,2025-02-20 17:50,2025-02-20 17:55,False
60,R1,88,20,2025-02-20 17:55,2025-02-20 18:05,False
61,R2,54,28,2025-02-20 18:05,2025-02-20 18:20,False
62,R3,64,54,2025-02-20 18:20,2025-02-20 18:35,False
63,R4,92,42,2025-02-20 18:35,2025-02-20 18:45,False
64,R5,75,34,2025-02-20 18:45,2025-02-20 19:00,False
65,R1,80,31,2025-02-20 19:00,2025-02-20 19:15,False
66,R2,53,44,2025-02-20 19:15,2025-02-20 19:20,False
67,R3,76,42,2025-02-20 19:20,2025-02-20 19:25,False
68,R4,81,24,2025-02-20 19:25,2025-02-20 19:35,False
69,R5,98,36,2025-02-20 19:35,2025-02-20 19:45,False
70,R1,57,38,2025-02-20 19:45,2025-02-20 20:00,False
71,R2,92,28,2025-02-20 20:00,2025-02-20 20:15,False
72,R3,75,54,2025-02-20 20:15,2025-02-20 20:25,False
73,R4,80,20,2025-02-20 20:25,2025-02-20 20:30,False
74,R5,98,45,2025-02-20 20:30,2025-02-20 20:35,False
75,R1,83,51,2025-02-20 20:35,2025-02-20 20:40,False
76,R2,51,39,2025-02-20 20:40,2025-02-20 20:55,False
77,R3,77,26,2025-02-20 20:55,2025-02-20 21:10,False
78,R4,84,46,2025-02-20 21:10,2025-02-20 21:20,False
79,R5,91,33,2025-02-20 21:20,2025-02-20 21:25,False
80,R1,71,51,2025-02-20 21:25,2025-02-20 21:40,False
81,R2,66,40,2025-02-20 21:40,2025-02-20 21:45,False
82,R3,57,32,2025-02-20 21:45,2025-02-20 22:00,False
83,R4,80,48,2025-02-20 22:00,2025-02-20 22:05,False
84,R5,75,56,2025-02-20 22:05,2025-02-20 22:10,False
85,R1,90,38,2025-02-20 22:10,2025-02-20 22:25,False
86,R2,90,24,2025-02-20 22:25,2025-02-20 22:30,False
87,R3,56,23,2025-02-20 22:30,2025-02-20 22:40,False
88,R4,100,53,2025-02-20 22:40,2025-02-20 22:50,False
89,R5,63,48,2025-02-20 22:50,2025-02-20 22:55,False
90,R1,68,58,2025-02-20 22:55,2025-02-20 23:10,False
91,R2,60,54,2025-02-20 23:10,2025-02-20 23:15,False
92,R3,58,35,2025-02-20 23:15,2025-02-20 23:20,False
93,R4,73,38,2025-02-20 23:20,2025-02-20 23:30,False
94,R5,63,38,2025-02-20 23:30,2025-02-20 23:35,False
95,R1,84,27,2025-02-20 23:35,2025-02-20 23:45,False
96,R2,63,47,2025-02-20 23:45,2025-02-20 23:50,False
97,R3,100,28,2025-02-20 23:50,2025-02-21 00:00,False
98,R4,100,48,2025-02-21 00:00,2025-02-21 00:05,False
99,R5,80,51,2025-02-21 00:05,2025-02-21 00:20,False
100,R1,70,54,2025-02-21 00:20,2025-02-21 00:35,False
101,R2,83,42,2025-02-21 00:35,2025-02-21 00:45,False
102,R3,58,57,2025-02-21 00:45,2025-02-21 00:50,False
103,R4,60,28,2025-02-21 00:50,2025-02-21 00:55,False
104,R5,66,24,2025-02-21 00:55,2025-02-21 01:10,False
105,R1,64,35,2025-02-21 01:10,2025-02-21 01:20,False
106,R2,70,31,2025-02-21 01:20,2025-02-21 01:30,False
107,R3,84,59,2025-02-21 01:30,2025-02-21 01:45,False
108,R4,75,37,2025-02-21 01:45,2025-02-21 01:55,False
109,R5,92,22,2025-02-21 01:55,2025-02-21 02:05,False
110,R1,58,55,2025-02-21 02:05,2025-02-21 02:15,False
111,R2,85,46,2025-02-21 02:15,2025-02-21 02:30,False
112,R3,61,49,2025-02-21 02:30,2025-02-21 02:35,False
113,R4,100,23,2025-02-21 02:35,2025-02-21 02:45,False
114,R5,61,59,2025-02-21 02:45,2025-02-21 02:55,False
115,R1,59,47,2025-02-21 02:55,2025-02-21 03:10,False
116,R2,96,60,2025-02-21 03:10,2025-02-21 03:15,False
117,R3,63,32,2025-02-21 03:15,2025-02-21 03:30,False
118,R4,60,52,2025-02-21 03:30,2025-02-21 03:40,False
119,R5,71,43,2025-02-21 03:40,2025-02-21 03:50,False
120,R1,99,36,2025-02-21 03:50,2025-02-21 04:00,False
121,R2,55,53,2025-02-21 04:00,2025-02-21 04:05,False
122,R3,65,20,2025-02-21 04:05,2025-02-21 04:15,False
123,R4,62,41,2025-02-21 04:15,2025-02-21 04:25,False
124,R5,96,45,2025-02-21 04:25,2025-02-21 04:40,False
125,R1,66,48,2025-02-21 04:40,2025-02-21 04:50,False
126,R2,64,48,2025-02-21 04:50,2025-02-21 05:00,False
127,R3,94,32,2025-02-21 05:00,2025-02-21 05:15,False
128,R4,58,60,2025-02-21 05:15,2025-02-21 05:30,False
129,R5,61,51,2025-02-21 05:30,2025-02-21 05:35,False
130,R1,52,40,2025-02-21 05:35,2025-02-21 05:40,False
131,R2,60,37,2025-02-21 05:40,2025-02-21 05:55,False
132,R3,99,49,2025-02-21 05:55,2025-02-21 06:00,False
