robot,machine,date,start_time
R2,M1,2025-02-20,08:00
R3,M1,2025-02-20,08:15
R4,M3,2025-02-20,08:20
R5,M1,2025-02-20,08:30
R1,M2,2025-02-20,08:35
R2,M2,2025-02-20,08:50
R3,M2,2025-02-20,09:05
R4,M1,2025-02-20,09:15
R5,M3,2025-02-20,09:20
R1,M1,2025-02-20,09:25
R2,M1,2025-02-20,09:30
R3,M3,2025-02-20,09:35
R4,M2,2025-02-20,09:45
R5,M3,2025-02-20,09:55
R1,M1,2025-02-20,10:00
R2,M3,2025-02-20,10:10
R3,M1,2025-02-20,10:25
R4,M1,2025-02-20,10:40
R5,M3,2025-02-20,10:55
R1,M1,2025-02-20,11:10
R2,M1,2025-02-20,11:15
R3,M2,2025-02-20,11:25
R4,M1,2025-02-20,11:30
R5,M3,2025-02-20,11:40
R1,M3,2025-02-20,11:45
R2,M2,2025-02-20,11:55
R3,M3,2025-02-20,12:10
R4,M1,2025-02-20,12:25
R5,M2,2025-02-20,12:30
R1,M1,2025-02-20,12:45
R2,M3,2025-02-20,13:00
R3,M1,2025-02-20,13:15
R4,M1,2025-02-20,13:30
R5,M2,2025-02-20,13:40
R1,M1,2025-02-20,13:55
R2,M3,2025-02-20,14:10
R3,M3,2025-02-20,14:25
R4,M3,2025-02-20,14:35
R5,M1,2025-02-20,14:50
R1,M2,2025-02-20,15:05
R2,M1,2025-02-20,15:20
R3,M2,2025-02-20,15:25
R4,M3,2025-02-20,15:30
R5,M1,2025-02-20,15:45
R1,M1,2025-02-20,15:50
R2,M2,2025-02-20,16:05
R3,M1,2025-02-20,16:10
R4,M1,2025-02-20,16:15
R5,M1,2025-02-20,16:25
R1,M3,2025-02-20,16:30
R2,M2,2025-02-20,16:40
R3,M3,2025-02-20,16:50
R4,M1,2025-02-20,17:00
R5,M2,2025-02-20,17:10
R1,M3,2025-02-20,17:15
R2,M1,2025-02-20,17:20
R3,M2,2025-02-20,17:35
R4,M1,2025-02-20,17:40
R5,M1,2025-02-20,17:50
R1,M2,2025-02-20,17:55
R2,M2,2025-02-20,18:05
R3,M1,2025-02-20,18:20
R4,M2,2025-02-20,18:35
R5,M3,2025-02-20,18:45
R1,M2,2025-02-20,19:00
R2,M1,2025-02-20,19:15
R3,M2,2025-02-20,19:20
R4,M1,2025-02-20,19:25
R5,M2,2025-02-20,19:35
R1,M1,2025-02-20,19:45
R2,M3,2025-02-20,20:00
R3,M3,2025-02-20,20:15
R4,M2,2025-02-20,20:25
R5,M1,2025-02-20,20:30
R1,M3,2025-02-20,20:35
R2,M1,2025-02-20,20:40
R3,M1,2025-02-20,20:55
R4,M3,2025-02-20,21:10
R5,M2,2025-02-20,21:20
R1,M2,2025-02-20,21:25
R2,M2,2025-02-20,21:40
R3,M2,2025-02-20,21:45
R4,M1,2025-02-20,22:00
R5,M2,2025-02-20,22:05
R1,M2,2025-02-20,22:10
R2,M3,2025-02-20,22:25
R3,M1,2025-02-20,22:30
R4,M2,2025-02-20,22:40
R5,M2,2025-02-20,22:50
R1,M3,2025-02-20,22:55
R2,M3,2025-02-20,23:10
R3,M3,2025-02-20,23:15
R4,M1,2025-02-20,23:20
R5,M2,2025-02-20,23:30
R1,M2,2025-02-20,23:35
R2,M3,2025-02-20,23:45
R3,M3,2025-02-20,23:50
R4,M1,2025-02-21,00:00
R5,M1,2025-02-21,00:05
R1,M3,2025-02-21,00:20
R2,M3,2025-02-21,00:35
R3,M2,2025-02-21,00:45
R4,M3,2025-02-21,00:50
R5,M2,2025-02-21,00:55
R1,M2,2025-02-21,01:10
R2,M2,2025-02-21,01:20
R3,M1,2025-02-21,01:30
R4,M3,2025-02-21,01:45
R5,M2,2025-02-21,01:55
R1,M1,2025-02-21,02:05
R2,M1,2025-02-21,02:15
R3,M2,2025-02-21,02:30
R4,M3,2025-02-21,02:35
R5,M2,2025-02-21,02:45
R1,M3,2025-02-21,02:55
R2,M3,2025-02-21,03:10
R3,M1,2025-02-21,03:15
R4,M1,2025-02-21,03:30
R5,M2,2025-02-21,03:40
R1,M2,2025-02-21,03:50
R2,M2,2025-02-21,04:00
R3,M1,2025-02-21,04:05
R4,M3,2025-02-21,04:15
R5,M3,2025-02-21,04:25
R1,M1,2025-02-21,04:40
R2,M3,2025-02-21,04:50
R3,M1,2025-02-21,05:00
R4,M1,2025-02-21,05:15
R5,M1,2025-02-21,05:30
R1,M1,2025-02-21,05:35
R2,M3,2025-02-21,05:40
R3,M2,2025-02-21,05:55
R4,M1,2025-02-21,06:00
R5,M1,2025-02-21,06:05
R1,M1,2025-02-21,06:10
R2,M2,2025-02-21,06:25
R3,M2,2025-02-21,06:40
R4,M1,2025-02-21,06:50
R5,M2,2025-02-21,07:00
R1,M3,2025-02-21,07:05
R2,M2,2025-02-21,07:10
R3,M1,2025-02-21,07:20
R4,M2,2025-02-21,07:35
R5,M1,2025-02-21,07:50
R1,M3,2025-02-21,08:00
R2,M1,2025-02-21,08:10
R3,M2,2025-02-21,08:20
R4,M2,2025-02-21,08:25
R5,M3,2025-02-21,08:30
R1,M2,2025-02-21,08:45
R2,M1,2025-02-21,09:00
R3,M1,2025-02-21,09:15
R4,M1,2025-02-21,09:25
R5,M2,2025-02-21,09:30
R1,M1,2025-02-21,09:45
R2,M2,2025-02-21,09:55
R3,M2,2025-02-21,10:10
R4,M2,2025-02-21,10:15
R5,M1,2025-02-21,10:25
